,_id,Quarter,HB,HBQF,HBT,CancerType,CancerTypeQF,NumberOfEligibleReferrals62DayStandard,NumberOfEligibleReferrals62DayStandardQF,NumberOfEligibleReferralsTreatedWithin62Days,NumberOfEligibleReferralsTreatedWithin62DaysQF
0,1,2012Q1,S08000015,,S08000015,Breast,,52,,52,
1,2,2012Q1,S08000015,,S08000015,Cervical,,2,,2,
2,3,2012Q1,S08000015,,S08000015,Colorectal,,31,,29,
3,4,2012Q1,S08000015,,S08000015,Head & Neck,,2,,2,
4,5,2012Q1,S08000015,,S08000015,Lung,,34,,33,
5,6,2012Q1,S08000015,,S08000015,Lymphoma,,10,,9,
6,7,2012Q1,S08000015,,S08000015,Melanoma,,2,,2,
7,8,2012Q1,S08000015,,S08000015,Ovarian,,2,,2,
8,9,2012Q1,S08000015,,S08000015,Upper GI,,22,,22,
9,10,2012Q1,S08000015,,S08000015,Urological,,12,,11,
10,11,2012Q1,S08000015,,S08000017,Breast,,2,,2,
11,12,2012Q1,S08000015,,S08000020,Lung,,1,,1,
12,13,2012Q1,S08000015,,S08000031,Breast,,5,,3,
13,14,2012Q1,S08000015,,S08000031,Cervical,,1,,1,
14,15,2012Q1,S08000015,,S08000031,Colorectal,,1,,1,
15,16,2012Q1,S08000015,,S08000031,Head & Neck,,1,,1,
16,17,2012Q1,S08000015,,S08000031,Lung,,7,,7,
17,18,2012Q1,S08000015,,S08000031,Melanoma,,1,,0,
18,19,2012Q1,S08000015,,S08000031,Ovarian,,3,,2,
19,20,2012Q1,S08000015,,S08000031,Upper GI,,6,,5,
20,21,2012Q1,S08000015,,S08000031,Urological,,1,,1,
21,22,2012Q1,S08000015,,SB0801,Lung,,2,,2,
22,23,2012Q1,S08000016,,S08000016,Breast,,6,,6,
23,24,2012Q1,S08000016,,S08000016,Cervical,,1,,1,
24,25,2012Q1,S08000016,,S08000016,Colorectal,,13,,13,
25,26,2012Q1,S08000016,,S08000016,Head & Neck,,1,,1,
26,27,2012Q1,S08000016,,S08000016,Lung,,13,,13,
27,28,2012Q1,S08000016,,S08000016,Lymphoma,,3,,3,
28,29,2012Q1,S08000016,,S08000016,Melanoma,,3,,3,
29,30,2012Q1,S08000016,,S08000016,Ovarian,,2,,2,
30,31,2012Q1,S08000016,,S08000016,Upper GI,,6,,6,
31,32,2012Q1,S08000016,,S08000016,Urological,,13,,13,
32,33,2012Q1,S08000016,,S08000024,Breast,,1,,1,
33,34,2012Q1,S08000016,,S08000024,Colorectal,,2,,1,
34,35,2012Q1,S08000016,,S08000024,Head & Neck,,1,,1,
35,36,2012Q1,S08000016,,S08000024,Lung,,3,,3,
36,37,2012Q1,S08000016,,S08000024,Melanoma,,1,,1,
37,38,2012Q1,S08000016,,S08000024,Upper GI,,1,,1,
38,39,2012Q1,S08000016,,S08000024,Urological,,1,,1,
39,40,2012Q1,S08000017,,S08000017,Breast,,8,,8,
40,41,2012Q1,S08000017,,S08000017,Colorectal,,20,,20,
41,42,2012Q1,S08000017,,S08000017,Head & Neck,,2,,2,
42,43,2012Q1,S08000017,,S08000017,Lung,,12,,12,
43,44,2012Q1,S08000017,,S08000017,Lymphoma,,2,,2,
44,45,2012Q1,S08000017,,S08000017,Melanoma,,3,,3,
45,46,2012Q1,S08000017,,S08000017,Ovarian,,2,,2,
46,47,2012Q1,S08000017,,S08000017,Upper GI,,17,,17,
47,48,2012Q1,S08000017,,S08000017,Urological,,17,,17,
48,49,2012Q1,S08000017,,S08000024,Breast,,3,,3,
49,50,2012Q1,S08000017,,S08000024,Head & Neck,,1,,1,
50,51,2012Q1,S08000017,,S08000024,Lung,,2,,2,
51,52,2012Q1,S08000017,,S08000024,Melanoma,,1,,1,
52,53,2012Q1,S08000017,,S08000024,Ovarian,,1,,1,
53,54,2012Q1,S08000017,,S08000024,Upper GI,,4,,4,
54,55,2012Q1,S08000017,,S08000024,Urological,,4,,2,
55,56,2012Q1,S08000017,,S08000031,Head & Neck,,2,,2,
56,57,2012Q1,S08000017,,SB0801,Lung,,1,,1,
57,58,2012Q1,S08000019,,S08000019,Breast,,25,,21,
58,59,2012Q1,S08000019,,S08000019,Colorectal,,22,,20,
59,60,2012Q1,S08000019,,S08000019,Head & Neck,,2,,2,
60,61,2012Q1,S08000019,,S08000019,Lung,,24,,24,
61,62,2012Q1,S08000019,,S08000019,Lymphoma,,5,,5,
62,63,2012Q1,S08000019,,S08000019,Melanoma,,5,,5,
63,64,2012Q1,S08000019,,S08000019,Ovarian,,1,,1,
64,65,2012Q1,S08000019,,S08000019,Upper GI,,16,,16,
65,66,2012Q1,S08000019,,S08000019,Urological,,36,,30,
66,67,2012Q1,S08000019,,S08000024,Lung,,1,,1,
67,68,2012Q1,S08000019,,S08000031,Breast,,2,,2,
68,69,2012Q1,S08000019,,S08000031,Cervical,,1,,1,
69,70,2012Q1,S08000019,,S08000031,Colorectal,,1,,1,
70,71,2012Q1,S08000019,,S08000031,Head & Neck,,4,,3,
71,72,2012Q1,S08000019,,S08000031,Lung,,15,,14,
72,73,2012Q1,S08000019,,S08000031,Ovarian,,3,,3,
73,74,2012Q1,S08000019,,S08000031,Upper GI,,4,,4,
74,75,2012Q1,S08000019,,SB0801,Lung,,3,,3,
75,76,2012Q1,S08000020,,S08000020,Breast,,86,,86,
76,77,2012Q1,S08000020,,S08000020,Cervical,,4,,4,
77,78,2012Q1,S08000020,,S08000020,Colorectal,,44,,32,
78,79,2012Q1,S08000020,,S08000020,Head & Neck,,10,,9,
79,80,2012Q1,S08000020,,S08000020,Lung,,45,,42,
80,81,2012Q1,S08000020,,S08000020,Lymphoma,,5,,2,
81,82,2012Q1,S08000020,,S08000020,Melanoma,,9,,9,
82,83,2012Q1,S08000020,,S08000020,Ovarian,,9,,9,
83,84,2012Q1,S08000020,,S08000020,Upper GI,,27,,25,
84,85,2012Q1,S08000020,,S08000020,Urological,,41,,36,
85,86,2012Q1,S08000022,,S08000020,Head & Neck,,1,,1,
86,87,2012Q1,S08000022,,S08000022,Breast,,36,,36,
87,88,2012Q1,S08000022,,S08000022,Cervical,,3,,3,
88,89,2012Q1,S08000022,,S08000022,Colorectal,,30,,27,
89,90,2012Q1,S08000022,,S08000022,Head & Neck,,8,,7,
90,91,2012Q1,S08000022,,S08000022,Lung,,26,,25,
91,92,2012Q1,S08000022,,S08000022,Lymphoma,,5,,5,
92,93,2012Q1,S08000022,,S08000022,Melanoma,,8,,8,
93,94,2012Q1,S08000022,,S08000022,Ovarian,,2,,2,
94,95,2012Q1,S08000022,,S08000022,Upper GI,,19,,19,
95,96,2012Q1,S08000022,,S08000022,Urological,,16,,15,
96,97,2012Q1,S08000022,,S08000024,Breast,,1,,1,
97,98,2012Q1,S08000022,,S08000024,Melanoma,,1,,1,
98,99,2012Q1,S08000022,,S08000031,Lung,,3,,3,
99,100,2012Q1,S08000022,,S08000031,Upper GI,,1,,1,
100,101,2012Q1,S08000022,,S08000031,Urological,,2,,2,
101,102,2012Q1,S08000024,,S08000016,Breast,,4,,4,
102,103,2012Q1,S08000024,,S08000019,Breast,,1,,1,
103,104,2012Q1,S08000024,,S08000024,Breast,,161,,161,
104,105,2012Q1,S08000024,,S08000024,Cervical,,2,,2,
105,106,2012Q1,S08000024,,S08000024,Colorectal,,97,,94,
106,107,2012Q1,S08000024,,S08000024,Head & Neck,,16,,14,
107,108,2012Q1,S08000024,,S08000024,Lung,,101,,95,
108,109,2012Q1,S08000024,,S08000024,Lymphoma,,14,,14,
109,110,2012Q1,S08000024,,S08000024,Melanoma,,23,,22,
110,111,2012Q1,S08000024,,S08000024,Ovarian,,13,,12,
111,112,2012Q1,S08000024,,S08000024,Upper GI,,32,,32,
112,113,2012Q1,S08000024,,S08000024,Urological,,95,,85,
113,114,2012Q1,S08000024,,S08000029,Breast,,3,,3,
114,115,2012Q1,S08000025,,S08000020,Breast,,1,,1,
115,116,2012Q1,S08000025,,S08000020,Colorectal,,2,,1,
116,117,2012Q1,S08000025,,S08000020,Upper GI,,1,,0,
117,118,2012Q1,S08000025,,S08000025,Colorectal,,2,,2,
118,119,2012Q1,S08000025,,S08000025,Urological,,1,,1,
119,120,2012Q1,S08000026,,S08000020,Colorectal,,2,,1,
120,121,2012Q1,S08000026,,S08000020,Lung,,2,,2,
121,122,2012Q1,S08000026,,S08000020,Lymphoma,,1,,1,
122,123,2012Q1,S08000026,,S08000020,Urological,,1,,1,
123,124,2012Q1,S08000026,,S08000026,Breast,,1,,1,
124,125,2012Q1,S08000026,,S08000026,Colorectal,,4,,4,
125,126,2012Q1,S08000026,,S08000026,Lung,,3,,3,
126,127,2012Q1,S08000026,,S08000026,Melanoma,,1,,1,
127,128,2012Q1,S08000026,,S08000026,Upper GI,,1,,1,
128,129,2012Q1,S08000028,,S08000022,Colorectal,,1,,1,
129,130,2012Q1,S08000028,,S08000028,Colorectal,,2,,2,
130,131,2012Q1,S08000028,,S08000028,Lung,,5,,5,
131,132,2012Q1,S08000028,,S08000028,Upper GI,,2,,2,
132,133,2012Q1,S08000028,,S08000028,Urological,,1,,1,
133,134,2012Q1,S08000028,,SB0801,Lung,,1,,1,
134,135,2012Q1,S08000028,,SB0801,Upper GI,,1,,1,
135,136,2012Q1,S08000029,,S08000024,Breast,,1,,1,
136,137,2012Q1,S08000029,,S08000024,Cervical,,2,,1,
137,138,2012Q1,S08000029,,S08000024,Colorectal,,3,,2,
138,139,2012Q1,S08000029,,S08000024,Head & Neck,,3,,3,
139,140,2012Q1,S08000029,,S08000024,Lung,,14,,11,
140,141,2012Q1,S08000029,,S08000024,Lymphoma,,1,,1,
141,142,2012Q1,S08000029,,S08000024,Ovarian,,1,,1,
142,143,2012Q1,S08000029,,S08000024,Urological,,3,,2,
143,144,2012Q1,S08000029,,S08000029,Breast,,23,,23,
144,145,2012Q1,S08000029,,S08000029,Cervical,,1,,1,
145,146,2012Q1,S08000029,,S08000029,Colorectal,,32,,27,
146,147,2012Q1,S08000029,,S08000029,Head & Neck,,2,,2,
147,148,2012Q1,S08000029,,S08000029,Lung,,41,,41,
148,149,2012Q1,S08000029,,S08000029,Lymphoma,,6,,5,
149,150,2012Q1,S08000029,,S08000029,Melanoma,,5,,5,
150,151,2012Q1,S08000029,,S08000029,Ovarian,,4,,2,
151,152,2012Q1,S08000029,,S08000029,Upper GI,,17,,17,
152,153,2012Q1,S08000029,,S08000029,Urological,,29,,27,
153,154,2012Q1,S08000029,,S08000030,Lung,,3,,3,
154,155,2012Q1,S08000030,,S08000020,Lung,,1,,1,
155,156,2012Q1,S08000030,,S08000024,Lung,,4,,3,
156,157,2012Q1,S08000030,,S08000030,Breast,,67,,67,
157,158,2012Q1,S08000030,,S08000030,Cervical,,2,,2,
158,159,2012Q1,S08000030,,S08000030,Colorectal,,42,,37,
159,160,2012Q1,S08000030,,S08000030,Head & Neck,,8,,7,
160,161,2012Q1,S08000030,,S08000030,Lung,,35,,34,
161,162,2012Q1,S08000030,,S08000030,Lymphoma,,5,,5,
162,163,2012Q1,S08000030,,S08000030,Melanoma,,10,,10,
163,164,2012Q1,S08000030,,S08000030,Ovarian,,4,,4,
164,165,2012Q1,S08000030,,S08000030,Upper GI,,13,,13,
165,166,2012Q1,S08000030,,S08000030,Urological,,32,,30,
166,167,2012Q1,S08000031,,S08000022,Colorectal,,2,,1,
167,168,2012Q1,S08000031,,S08000024,Urological,,1,,1,
168,169,2012Q1,S08000031,,S08000031,Breast,,203,,203,
169,170,2012Q1,S08000031,,S08000031,Cervical,,6,,6,
170,171,2012Q1,S08000031,,S08000031,Colorectal,,100,,93,
171,172,2012Q1,S08000031,,S08000031,Head & Neck,,33,,32,
172,173,2012Q1,S08000031,,S08000031,Lung,,104,,89,
173,174,2012Q1,S08000031,,S08000031,Lymphoma,,18,,18,
174,175,2012Q1,S08000031,,S08000031,Melanoma,,25,,25,
175,176,2012Q1,S08000031,,S08000031,Ovarian,,6,,6,
176,177,2012Q1,S08000031,,S08000031,Upper GI,,98,,92,
177,178,2012Q1,S08000031,,S08000031,Urological,,87,,85,
178,179,2012Q1,S08000031,,S08000032,Breast,,4,,4,
