,id,original_title,popularity,vote_count,genre_ids
0,238,The Godfather,142.126,19198,"[18, 80]"
1,278,The Shawshank Redemption,114.17,25188,"[18, 80]"
2,240,The Godfather Part II,65.237,11572,"[18, 80]"
3,424,Schindler's List,73.143,14925,"[18, 36, 10752]"
4,19404,दिलवाले दुल्हनिया ले जायेंगे,39.68,4305,"[35, 18, 10749]"
5,389,12 Angry Men,48.501,7888,[18]
6,129,千と千尋の神隠し,105.287,15273,"[16, 10751, 14]"
7,496243,기생충,118.33,16836,"[35, 53, 18]"
8,155,The Dark Knight,179.031,31132,"[18, 28, 80, 53]"
9,497,The Green Mile,77.867,16274,"[14, 18, 80]"
10,372058,君の名は。,87.195,10613,"[10749, 16, 18]"
11,680,Pulp Fiction,87.261,26342,"[53, 80]"
12,122,The Lord of the Rings: The Return of the King,123.528,22760,"[12, 14, 28]"
13,13,Forrest Gump,90.241,25855,"[35, 18, 10749]"
14,568332,Taylor Swift: Reputation Stadium Tour,29.85,334,[10402]
15,429,"Il buono, il brutto, il cattivo",67.102,7960,[37]
16,769,GoodFellas,81.767,11996,"[18, 80]"
17,346,七人の侍,44.023,3337,"[28, 18]"
18,12477,火垂るの墓,0.6,5003,"[16, 18, 10752]"
19,637,La vita è bella,58.978,12433,"[35, 18]"
20,11216,Nuovo Cinema Paradiso,39.209,4053,"[18, 10749]"
21,667257,Cosas imposibles,12.903,364,"[10751, 18]"
22,550,Fight Club,81.186,27728,[18]
23,696374,Gabriel's Inferno,12.687,2380,"[10749, 18]"
24,598,Cidade de Deus,42.788,6830,"[18, 80]"
25,539,Psycho,40.679,9470,"[27, 53, 9648]"
26,311,Once Upon a Time in America,51.301,4989,"[18, 80]"
27,157336,Interstellar,189.976,33196,"[12, 18, 878]"
28,510,One Flew Over the Cuckoo's Nest,48.807,9808,[18]
29,724089,Gabriel's Inferno: Part II,9.258,1489,"[10749, 18]"
30,372754,同級生,14.522,331,"[10749, 16]"
31,620249,罗小黑战记,20.264,316,"[16, 14, 28]"
32,120,The Lord of the Rings: The Fellowship of the Ring,137.108,23715,"[12, 14, 28]"
